UAE dirham
US Dollar
Argentine Peso
Australian Dollar
Bangladesh Taka
Bahrani Dinar
Brunei Dollar
Brazilian Real
Botswana Pula
Belarus Rouble
Canadian Dollar
Swiss Franc
Chilean Peso
Chinese Yuan
Colombian Peso
Czech Koruna
Danish Krone
Algerian Dinar
Egypt Pound
Euro
GB Pound
Hongkong Dollar
Hungarian Forint
Indonesia Rupiah
Indian Rupee
Iceland Krona
Jordan Dinar
Japanese Yen
Kenya Shilling
Korean Won
Kuwaiti Dinar
Kazakhstan Tenge
Lebanon Pound
Sri Lanka Rupee
Moroccan Dirham
Macedonia Denar
Mexican Peso
Malaysia Ringgit
Nigerian Naira
Norwegian Krone
NewZealand Dollar
Omani Rial
Peru Sol
Philippine Piso
Pakistan Rupee
Polish Zloty
Qatari Riyal
Serbian Dinar
Russia Rouble
Saudi Riyal
Sudanese Pound
Swedish Krona
Singapore Dollar
Thai Baht
Tunisian Dinar
Turkish Lira
Trin Tob Dollar
Taiwan Dollar
Tanzania Shilling
Uganda Shilling
Vietnam Dong
Yemen Rial
South Africa Rand
Zambian Kwacha
Azerbaijan manat
Bulgarian lev
Croatian kuna
Ethiopian birr
Iraqi dinar
Israeli new shekel
Libyan dinar
Mauritian rupee
Romanian leu
Syrian pound
Turkmen manat
Uzbekistani som
